kernelSize;density;delta
9;39;0,092352
5;72;0,114891
9;40;0,090683
2;30;0,385790
4;59;0,191640
7;98;0,051511
9;41;0,094255
3;44;0,278726
9;42;0,093840
6;86;0,068420
9;43;0,093275
7;99;0,051161
9;44;0,092376
5;73;0,118616
9;45;0,091604
6;87;0,070587
9;46;0,091517
4;60;0,196886
7;100;0,051420
9;47;0,090765
10;1;0,290073
10;2;0,193098
10;3;0,138169
10;4;0,121026
9;48;0,089689
5;74;0,122621
10;5;0,116334
3;45;0,285707
10;6;0,117894
1;15;0,473176
10;7;0,092591
6;88;0,073165
9;49;0,090776
10;8;0,098149
10;9;0,108143
10;10;0,107469
9;50;0,089462
2;31;0,392148
10;11;0,099744
10;12;0,092851
4;61;0,202051
9;51;0,089495
10;13;0,095834
10;14;0,089782
9;52;0,088177
5;75;0,126728
10;15;0,092867
6;89;0,075134
10;16;0,088092
9;53;0,089331
10;17;0,090249
10;18;0,085087
10;19;0,075398
9;54;0,085945
10;20;0,083766
3;46;0,290992
9;55;0,082258
10;21;0,083600
6;90;0,077633
4;62;0,207075
10;22;0,088277
5;76;0,130541
9;56;0,087764
10;23;0,086334
10;24;0,085149
9;57;0,087171
10;25;0,084141
10;26;0,081427
9;58;0,087403
6;91;0,079692
10;27;0,079164
10;28;0,078639
2;32;0,398040
9;59;0,086880
5;77;0,134602
10;29;0,079612
4;63;0,211818
9;60;0,085935
10;30;0,076308
3;47;0,297231
10;31;0,075765
9;61;0,082666
6;92;0,082632
10;32;0,078343
9;62;0,088357
10;33;0,075218
5;78;0,138347
10;34;0,076347
9;63;0,087835
10;35;0,076169
4;64;0,217264
6;93;0,085148
9;64;0,087830
10;36;0,073234
10;37;0,069117
9;65;0,087011
10;38;0,074392
5;79;0,142289
9;66;0,087501
10;39;0,074586
3;48;0,302879
6;94;0,087461
10;40;0,073457
9;67;0,087673
2;33;0,402675
1;16;0,476052
10;41;0,076090
4;65;0,221358
9;68;0,087258
10;42;0,094317
10;43;0,093324
9;69;0,085842
5;80;0,145723
10;44;0,092876
6;95;0,090305
9;70;0,086335
10;45;0,092058
10;46;0,091891
9;71;0,086515
10;47;0,091079
3;49;0,308018
4;66;0,226023
10;48;0,090150
9;72;0,085972
6;96;0,092748
5;81;0,149648
10;49;0,091042
9;73;0,085973
10;50;0,089659
9;74;0,085284
10;51;0,090000
10;52;0,088763
6;97;0,095586
2;34;0,406928
9;75;0,086142
10;53;0,089423
4;67;0,230594
5;82;0,153471
9;76;0,085891
10;54;0,086552
3;50;0,313152
10;55;0,082375
9;77;0,086015
6;98;0,098144
10;56;0,088081
9;78;0,086005
10;57;0,087338
5;83;0,157007
10;58;0,087571
9;79;0,084903
4;68;0,235066
10;59;0,087160
6;99;0,100851
9;80;0,085016
10;60;0,086086
9;81;0,084194
10;61;0,082723
3;51;0,318153
5;84;0,161485
10;62;0,088239
9;82;0,083009
6;100;0,103826
2;35;0,411766
11;1;0,290553
10;63;0,087895
11;2;0,195279
11;3;0,140336
11;4;0,123340
9;83;0,083572
4;69;0,239104
11;5;0,118183
11;6;0,119422
10;64;0,087873
1;17;0,478566
11;7;0,094402
11;8;0,100177
11;9;0,109538
10;65;0,087052
9;84;0,081962
11;10;0,109616
11;11;0,101432
5;85;0,164622
11;12;0,094544
10;66;0,087651
11;13;0,096769
9;85;0,079670
11;14;0,091128
11;15;0,094157
10;67;0,087619
11;16;0,088871
11;17;0,091633
9;86;0,083380
10;68;0,087345
11;18;0,085473
11;19;0,076319
4;70;0,243678
3;52;0,323273
11;20;0,084718
10;69;0,086018
9;87;0,083546
11;21;0,084092
5;86;0,167987
11;22;0,089098
10;70;0,086483
11;23;0,087095
9;88;0,083999
11;24;0,086107
10;71;0,086749
11;25;0,084732
11;26;0,082062
9;89;0,084425
10;72;0,086232
11;27;0,079491
2;36;0,415705
11;28;0,079359
10;73;0,086185
11;29;0,080037
9;90;0,083698
4;71;0,247947
5;87;0,171779
11;30;0,076777
10;74;0,085525
11;31;0,076531
9;91;0,082065
11;32;0,078895
3;53;0,327788
10;75;0,086349
11;33;0,076017
11;34;0,077413
9;92;0,084872
10;76;0,085989
11;35;0,077031
11;36;0,073990
10;77;0,086247
9;93;0,084568
5;88;0,175487
11;37;0,069397
4;72;0,252077
11;38;0,075493
10;78;0,086059
9;94;0,083950
11;39;0,075227
10;79;0,085055
11;40;0,074347
11;41;0,077247
9;95;0,083999
10;80;0,085156
11;42;0,076334
11;43;0,075818
5;89;0,178686
10;81;0,084202
3;54;0,332157
9;96;0,083642
2;37;0,419865
11;44;0,075229
10;82;0,082976
11;45;0,074680
4;73;0,255676
1;18;0,480302
9;97;0,083323
11;46;0,074324
10;83;0,083569
11;47;0,073694
9;98;0,082778
11;48;0,072800
10;84;0,082053
5;90;0,182125
11;49;0,073431
10;85;0,079666
11;50;0,072476
9;99;0,082666
11;51;0,072505
10;86;0,083580
11;52;0,089779
9;100;0,082317
12;1;0,290409
4;74;0,259842
12;2;0,193785
11;53;0,090760
10;87;0,083666
12;3;0,139333
3;55;0,336580
12;4;0,122867
12;5;0,116554
11;54;0,087419
12;6;0,118432
12;7;0,093460
5;91;0,185291
10;88;0,084040
12;8;0,099036
11;55;0,083672
12;9;0,108859
12;10;0,109067
12;11;0,100605
11;56;0,089143
10;89;0,084374
12;12;0,093936
12;13;0,096272
11;57;0,088715
12;14;0,089661
12;15;0,093269
11;58;0,088828
10;90;0,083885
12;16;0,088211
2;38;0,423394
12;17;0,090167
11;59;0,088603
12;18;0,084353
12;19;0,075189
10;91;0,082064
4;75;0,263853
11;60;0,087636
12;20;0,083275
5;92;0,189232
12;21;0,083023
11;61;0,084039
12;22;0,088047
10;92;0,084971
12;23;0,085897
11;62;0,089800
12;24;0,084362
3;56;0,340555
10;93;0,084533
12;25;0,083756
11;63;0,089312
12;26;0,081282
11;64;0,089395
12;27;0,078556
10;94;0,083904
12;28;0,078424
11;65;0,088294
12;29;0,079163
5;93;0,192412
12;30;0,075726
11;66;0,088837
10;95;0,084126
12;31;0,075759
4;76;0,267579
11;67;0,089091
12;32;0,077814
10;96;0,083594
12;33;0,075148
11;68;0,088749
12;34;0,076291
11;69;0,087259
12;35;0,075396
10;97;0,083226
12;36;0,073159
11;70;0,087565
12;37;0,068713
5;94;0,195436
10;98;0,082870
12;38;0,073809
11;71;0,088065
3;57;0,344340
2;39;0,426504
12;39;0,073872
11;72;0,087773
10;99;0,082525
12;40;0,072644
1;19;0,482453
4;77;0,271276
12;41;0,075599
11;73;0,087184
10;100;0,082212
12;42;0,075164
13;1;0,289304
11;74;0,087162
13;2;0,195519
12;43;0,074346
13;3;0,139641
13;4;0,121923
13;5;0,117550
12;44;0,074197
13;6;0,119243
11;75;0,087547
5;95;0,198987
13;7;0,094305
13;8;0,099507
12;45;0,073741
13;9;0,109925
11;76;0,087370
13;10;0,108838
12;46;0,073282
13;11;0,100937
13;12;0,094609
12;47;0,072684
11;77;0,087497
13;13;0,097046
13;14;0,091472
12;48;0,071866
13;15;0,094085
11;78;0,087423
13;16;0,089114
12;49;0,072325
4;78;0,274872
13;17;0,091163
13;18;0,085926
12;50;0,071415
3;58;0,348859
11;79;0,086479
13;19;0,076003
13;20;0,084944
12;51;0,071691
5;96;0,202137
13;21;0,084355
11;80;0,086329
13;22;0,089659
12;52;0,070401
13;23;0,087746
11;81;0,085645
12;53;0,071230
13;24;0,086294
13;25;0,085284
12;54;0,068629
11;82;0,084550
13;26;0,082482
13;27;0,080243
2;40;0,429854
12;55;0,066133
13;28;0,079417
11;83;0,085153
12;56;0,070129
13;29;0,080736
13;30;0,077251
11;84;0,083419
12;57;0,069422
4;79;0,278469
5;97;0,205401
13;31;0,076821
12;58;0,069880
13;32;0,079525
11;85;0,081016
13;33;0,076111
12;59;0,069444
13;34;0,078509
11;86;0,084991
12;60;0,068705
13;35;0,077476
3;59;0,352299
13;36;0,074790
12;61;0,066350
11;87;0,084982
13;37;0,070191
12;62;0,088371
13;38;0,075966
11;88;0,085499
12;63;0,087996
13;39;0,075787
5;98;0,208349
13;40;0,074593
11;89;0,085987
12;64;0,088175
4;80;0,281581
13;41;0,077541
12;65;0,087243
13;42;0,076716
11;90;0,085025
12;66;0,087647
13;43;0,076115
11;91;0,083404
13;44;0,075452
12;67;0,087916
13;45;0,075305
12;68;0,087472
11;92;0,086355
13;46;0,074507
12;69;0,085915
5;99;0,211640
13;47;0,074077
11;93;0,085946
12;70;0,086440
2;41;0,432904
13;48;0,073409
3;60;0,356128
12;71;0,086731
13;49;0,074063
11;94;0,085339
4;81;0,285207
13;50;0,072692
12;72;0,086131
1;20;0,484675
11;95;0,085347
13;51;0,072944
12;73;0,086206
13;52;0,072043
12;74;0,085407
11;96;0,084944
13;53;0,072751
12;75;0,086403
5;100;0,214900
13;54;0,070114
14;1;0,287514
11;97;0,084621
14;2;0,190640
14;3;0,139009
12;76;0,086185
13;55;0,067359
14;4;0,123942
14;5;0,116981
14;6;0,119766
13;56;0,071619
14;7;0,094764
11;98;0,084020
12;77;0,086314
14;8;0,099708
14;9;0,110210
13;57;0,071024
14;10;0,109242
12;78;0,086329
14;11;0,100896
11;99;0,083909
14;12;0,094310
13;58;0,071319
14;13;0,097511
12;79;0,085100
4;82;0,288490
14;14;0,090855
13;59;0,070922
14;15;0,093888
11;100;0,083682
14;16;0,088083
3;61;0,359645
12;80;0,085287
15;1;0,289473
13;60;0,070348
15;2;0,189654
14;17;0,090472
15;3;0,136693
14;18;0,085421
15;4;0,122662
13;61;0,067358
12;81;0,084248
15;5;0,118250
14;19;0,075572
15;6;0,120888
14;20;0,083960
15;7;0,095229
13;62;0,071591
