kernelSize;density;delta
30;100;0,067682
33;62;0,072234
34;28;0,082371
31;95;0,067977
32;63;0,072450
35;1;0,276025
33;63;0,072258
34;29;0,083898
35;2;0,193312
3;81;0,410588
32;64;0,071673
34;30;0,081946
31;96;0,067171
33;64;0,072843
35;3;0,134973
34;31;0,079403
35;4;0,121508
32;65;0,071296
33;65;0,071246
31;97;0,067118
35;5;0,115914
34;32;0,082044
32;66;0,071705
35;6;0,116830
33;66;0,072256
34;33;0,078944
35;7;0,095151
31;98;0,066655
32;67;0,071146
33;67;0,072910
34;34;0,080777
35;8;0,100084
31;99;0,066530
35;9;0,109334
32;68;0,071672
34;35;0,080647
33;68;0,071943
35;10;0,107890
34;36;0,077945
35;11;0,101219
32;69;0,070243
31;100;0,066642
33;69;0,071123
35;12;0,093667
34;37;0,074278
36;1;0,275791
32;70;0,070498
35;13;0,094381
33;70;0,070998
36;2;0,194901
34;38;0,079559
35;14;0,089675
36;3;0,138499
32;71;0,070946
34;39;0,080414
33;71;0,071488
36;4;0,123388
35;15;0,093182
36;5;0,119131
32;72;0,070354
34;40;0,078062
35;16;0,088038
33;72;0,070990
36;6;0,121662
35;17;0,090285
34;41;0,080669
36;7;0,093359
32;73;0,070714
33;73;0,070483
35;18;0,084884
34;42;0,079749
36;8;0,098664
32;74;0,069722
33;74;0,070662
35;19;0,076019
36;9;0,109617
34;43;0,079229
35;20;0,083331
36;10;0,109069
32;75;0,070181
33;75;0,070837
34;44;0,078857
35;21;0,086608
36;11;0,101747
32;76;0,070015
34;45;0,077384
33;76;0,070848
35;22;0,091050
36;12;0,093665
36;13;0,094650
34;46;0,077462
35;23;0,089435
32;77;0,070437
33;77;0,070872
1;27;0,490894
36;14;0,089628
35;24;0,087472
34;47;0,076693
32;78;0,070258
36;15;0,093344
33;78;0,070872
35;25;0,086619
34;48;0,076467
36;16;0,088947
32;79;0,069463
35;26;0,083487
33;79;0,070043
34;49;0,076897
36;17;0,092388
35;27;0,082029
32;80;0,069184
33;80;0,069887
34;50;0,076129
36;18;0,086045
35;28;0,082323
36;19;0,076596
32;81;0,069070
34;51;0,076467
33;81;0,069237
35;29;0,083336
36;20;0,085473
35;30;0,079002
34;52;0,075161
32;82;0,067457
33;82;0,068411
36;21;0,084053
35;31;0,079041
36;22;0,092188
34;53;0,075849
32;83;0,068373
33;83;0,069024
35;32;0,081156
36;23;0,091630
34;54;0,073847
36;24;0,090972
33;84;0,067825
32;84;0,066758
35;33;0,078452
34;55;0,069852
36;25;0,088874
35;34;0,079351
33;85;0,065523
32;85;0,065152
34;56;0,074328
36;26;0,086649
35;35;0,079132
36;27;0,084519
34;57;0,074113
33;86;0,068263
32;86;0,067528
35;36;0,076252
36;28;0,083805
34;58;0,074313
33;87;0,068358
35;37;0,071831
32;87;0,067433
36;29;0,085405
34;59;0,074314
35;38;0,078446
33;88;0,068805
36;30;0,081238
32;88;0,067675
35;39;0,077124
34;60;0,072149
33;89;0,069019
36;31;0,080831
35;40;0,076679
34;61;0,070578
32;89;0,068180
36;32;0,083044
33;90;0,067697
35;41;0,079135
36;33;0,079788
34;62;0,074548
32;90;0,067335
36;34;0,080930
35;42;0,078435
33;91;0,066619
34;63;0,073270
32;91;0,066190
36;35;0,080507
35;43;0,077837
34;64;0,074195
33;92;0,068740
36;36;0,078174
35;44;0,077087
32;92;0,068473
34;65;0,073483
36;37;0,073829
35;45;0,077134
32;93;0,067877
33;93;0,068554
36;38;0,079602
35;46;0,076814
34;66;0,073291
32;94;0,067037
33;94;0,067923
36;39;0,079197
35;47;0,075978
34;67;0,073095
36;40;0,077473
33;95;0,067843
35;48;0,075237
3;82;0,412423
32;95;0,067444
34;68;0,072946
36;41;0,080550
35;49;0,076289
34;69;0,071878
33;96;0,067955
36;42;0,080645
32;96;0,066956
35;50;0,075088
34;70;0,072327
36;43;0,079269
33;97;0,067610
35;51;0,075384
32;97;0,066752
34;71;0,072329
36;44;0,079873
33;98;0,067312
35;52;0,074136
32;98;0,066367
36;45;0,079010
34;72;0,071894
35;53;0,075478
33;99;0,067631
36;46;0,078263
32;99;0,065804
34;73;0,071814
35;54;0,072323
33;100;0,066954
36;47;0,077994
35;55;0,070152
34;74;0,071273
32;100;0,066080
37;1;0,274801
35;56;0,072485
36;48;0,076644
38;1;0,275882
37;2;0,190876
34;75;0,071972
38;2;0,190605
37;3;0,137126
36;49;0,077354
35;57;0,073729
37;4;0,121213
38;3;0,135316
34;76;0,071809
36;50;0,076246
35;58;0,072862
37;5;0,114219
38;4;0,122041
37;6;0,117051
36;51;0,077439
34;77;0,071861
35;59;0,073201
38;5;0,116525
37;7;0,093758
38;6;0,119227
2;56;0,461618
36;52;0,075823
35;60;0,072210
34;78;0,071740
37;8;0,096398
38;7;0,094965
36;53;0,076745
37;9;0,104517
38;8;0,097871
35;61;0,069841
37;10;0,106547
34;79;0,070496
38;9;0,108180
36;54;0,073177
38;10;0,106961
37;11;0,097056
35;62;0,073824
36;55;0,073383
34;80;0,070587
38;11;0,101156
37;12;0,092839
36;56;0,075679
35;63;0,073487
37;13;0,093852
38;12;0,093879
34;81;0,070049
36;57;0,074612
37;14;0,089319
38;13;0,096228
35;64;0,073548
34;82;0,068788
36;58;0,075231
37;15;0,093169
38;14;0,089068
35;65;0,072644
37;16;0,088334
38;15;0,093392
34;83;0,069453
36;59;0,074948
37;17;0,089543
38;16;0,088920
35;66;0,072774
36;60;0,074023
34;84;0,068668
37;18;0,086791
38;17;0,089892
35;67;0,073216
37;19;0,077339
36;61;0,071414
38;18;0,084808
34;85;0,066719
37;20;0,084086
38;19;0,076562
35;68;0,072381
36;62;0,075870
37;21;0,084245
34;86;0,069451
38;20;0,083161
35;69;0,071466
37;22;0,091879
38;21;0,083283
36;63;0,075139
37;23;0,090155
34;87;0,069759
38;22;0,087754
35;70;0,071893
36;64;0,075709
37;24;0,087586
38;23;0,086069
34;88;0,069871
36;65;0,074277
37;25;0,087512
35;71;0,072361
38;24;0,089003
34;89;0,070067
37;26;0,084661
38;25;0,087306
36;66;0,075020
35;72;0,072002
37;27;0,080850
38;26;0,084594
34;90;0,069762
36;67;0,074390
37;28;0,081028
38;27;0,082768
35;73;0,071881
34;91;0,068437
37;29;0,082767
38;28;0,082213
36;68;0,074382
35;74;0,071342
37;30;0,078863
34;92;0,070979
38;29;0,082530
36;69;0,073104
35;75;0,071663
37;31;0,078722
38;30;0,079075
34;93;0,070191
36;70;0,073859
37;32;0,081464
35;76;0,071481
38;31;0,079103
36;71;0,073820
34;94;0,069768
37;33;0,077755
38;32;0,080633
35;77;0,071789
37;34;0,079517
38;33;0,078262
36;72;0,073268
34;95;0,070004
35;78;0,071532
37;35;0,078710
38;34;0,079759
36;73;0,072697
37;36;0,076505
38;35;0,079969
34;96;0,069630
35;79;0,070691
37;37;0,071872
36;74;0,073115
38;36;0,075902
35;80;0,070807
34;97;0,068930
37;38;0,076845
38;37;0,071519
36;75;0,073504
3;83;0,414340
35;81;0,070635
37;39;0,077408
38;38;0,077255
34;98;0,069020
36;76;0,072785
37;40;0,075702
38;39;0,076942
35;82;0,069725
34;99;0,068869
36;77;0,073161
37;41;0,079199
38;40;0,076477
35;83;0,069929
34;100;0,068465
37;42;0,077504
36;78;0,073170
38;41;0,078899
39;1;0,276250
37;43;0,077069
35;84;0,069036
36;79;0,072073
38;42;0,078107
39;2;0,196324
37;44;0,076813
38;43;0,078088
36;80;0,072276
35;85;0,066829
39;3;0,137425
37;45;0,076714
39;4;0,120820
38;44;0,077908
36;81;0,071572
35;86;0,069988
39;5;0,116344
37;46;0,075764
38;45;0,078056
39;6;0,119601
37;47;0,074292
36;82;0,070675
35;87;0,070021
39;7;0,091875
38;46;0,077071
37;48;0,073764
39;8;0,099446
36;83;0,071400
35;88;0,070118
39;9;0,108962
38;47;0,076870
37;49;0,073734
39;10;0,108988
36;84;0,070507
35;89;0,070685
38;48;0,075976
37;50;0,073379
39;11;0,101609
36;85;0,068143
35;90;0,069795
37;51;0,073245
39;12;0,095863
38;49;0,076445
36;86;0,070813
39;13;0,097305
37;52;0,073201
38;50;0,075340
35;91;0,068816
39;14;0,092552
36;87;0,071085
37;53;0,072189
38;51;0,075581
39;15;0,095188
35;92;0,070993
36;88;0,070973
37;54;0,071529
39;16;0,088612
38;52;0,076317
35;93;0,070441
39;17;0,091621
37;55;0,067857
38;53;0,076081
36;89;0,071642
39;18;0,085426
35;94;0,069854
38;54;0,073464
37;56;0,072473
36;90;0,070302
39;19;0,077952
38;55;0,070718
37;57;0,072115
35;95;0,069599
39;20;0,084202
36;91;0,069048
38;56;0,075114
37;58;0,071962
39;21;0,084106
35;96;0,069932
38;57;0,073366
39;22;0,089395
36;92;0,071702
37;59;0,071292
35;97;0,069536
38;58;0,074627
39;23;0,087376
37;60;0,070863
36;93;0,071600
38;59;0,074155
39;24;0,085620
35;98;0,069158
37;61;0,068395
36;94;0,070697
38;60;0,072712
39;25;0,089476
35;99;0,068895
37;62;0,071497
39;26;0,086988
38;61;0,069704
36;95;0,071118
39;27;0,084556
37;63;0,071751
35;100;0,068949
38;62;0,074199
36;96;0,070493
39;28;0,085376
40;1;0,278488
37;64;0,071894
38;63;0,073851
39;29;0,086505
40;2;0,188002
36;97;0,070787
37;65;0,070716
40;3;0,133230
39;30;0,082515
38;64;0,073859
40;4;0,119301
39;31;0,081423
36;98;0,070361
37;66;0,070842
38;65;0,072390
40;5;0,115051
39;32;0,083700
37;67;0,070891
40;6;0,115440
36;99;0,069810
38;66;0,073165
39;33;0,080065
40;7;0,091768
37;68;0,070743
38;67;0,073326
36;100;0,070373
40;8;0,097500
39;34;0,082959
40;9;0,106174
38;68;0,073192
37;69;0,069860
41;1;0,274884
39;35;0,080904
40;10;0,104540
41;2;0,195180
38;69;0,072116
39;36;0,077618
37;70;0,069845
41;3;0,141163
40;11;0,097858
39;37;0,073585
38;70;0,071668
37;71;0,070403
41;4;0,126686
40;12;0,090860
2;57;0,462587
39;38;0,079112
41;5;0,118693
38;71;0,073142
40;13;0,093317
37;72;0,069367
39;39;0,079170
41;6;0,119354
40;14;0,088974
38;72;0,072215
37;73;0,069579
41;7;0,097063
39;40;0,078233
40;15;0,092000
41;8;0,102041
38;73;0,072238
37;74;0,068711
39;41;0,081320
40;16;0,087264
41;9;0,110504
37;75;0,069952
39;42;0,079996
38;74;0,071768
41;10;0,110121
40;17;0,087811
39;43;0,079638
41;11;0,102437
40;18;0,083543
37;76;0,069298
38;75;0,072796
41;12;0,095956
39;44;0,079549
3;84;0,416779
40;19;0,074956
37;77;0,069688
38;76;0,071916
41;13;0,099117
39;45;0,078428
40;20;0,083464
41;14;0,092636
39;46;0,078136
37;78;0,069695
38;77;0,071926
41;15;0,094300
40;21;0,082610
39;47;0,077900
41;16;0,090537
37;79;0,068094
40;22;0,086864
38;78;0,071909
41;17;0,090940
39;48;0,076570
40;23;0,085651
38;79;0,071015
37;80;0,068255
41;18;0,087593
39;49;0,077494
40;24;0,083495
38;80;0,071099
39;50;0,074815
41;19;0,077818
37;81;0,067561
40;25;0,081782
38;81;0,070424
41;20;0,085354
39;51;0,077449
40;26;0,079913
37;82;0,067335
41;21;0,085519
39;52;0,074489
40;27;0,082570
38;82;0,069888
37;83;0,067936
41;22;0,089168
40;28;0,081352
39;53;0,076049
38;83;0,070421
41;23;0,088872
40;29;0,082645
39;54;0,072392
37;84;0,067168
41;24;0,087360
40;30;0,079434
38;84;0,069552
39;55;0,069620
37;85;0,064802
41;25;0,086949
38;85;0,067363
40;31;0,078506
39;56;0,073427
41;26;0,083018
37;86;0,067745
40;32;0,081796
38;86;0,070245
39;57;0,072647
41;27;0,081478
40;33;0,077964
41;28;0,084245
37;87;0,067732
38;87;0,070136
39;58;0,072646
40;34;0,080200
41;29;0,085295
37;88;0,067888
39;59;0,072330
38;88;0,070828
40;35;0,079391
41;30;0,081736
39;60;0,071353
37;89;0,068297
38;89;0,071237
40;36;0,076986
41;31;0,081043
40;37;0,072141
41;32;0,082986
39;61;0,068908
38;90;0,070403
37;90;0,067841
40;38;0,077609
41;33;0,080198
39;62;0,073572
38;91;0,069475
37;91;0,067028
41;34;0,081740
40;39;0,077730
39;63;0,072957
38;92;0,071681
40;40;0,076326
41;35;0,081221
37;92;0,068761
1;28;0,491889
39;64;0,073096
40;41;0,079272
41;36;0,078593
38;93;0,071039
37;93;0,068019
39;65;0,071907
40;42;0,078175
41;37;0,074302
38;94;0,070692
37;94;0,067939
39;66;0,072889
40;43;0,077977
41;38;0,078900
38;95;0,070010
40;44;0,077725
41;39;0,079815
39;67;0,073070
37;95;0,067925
38;96;0,069791
40;45;0,077760
41;40;0,078036
39;68;0,071677
37;96;0,067916
41;41;0,080642
40;46;0,076659
38;97;0,069525
39;69;0,071041
37;97;0,067712
41;42;0,079417
40;47;0,075741
39;70;0,071456
38;98;0,069783
41;43;0,078499
37;98;0,067245
40;48;0,075221
39;71;0,071856
41;44;0,078756
38;99;0,068613
40;49;0,074664
37;99;0,066774
39;72;0,071181
41;45;0,077367
40;50;0,075184
38;100;0,068963
41;46;0,076959
39;73;0,070816
37;100;0,067144
42;1;0,273850
40;51;0,073272
41;47;0,076800
42;2;0,197917
39;74;0,070649
43;1;0,269739
40;52;0,073788
42;3;0,142186
41;48;0,076150
43;2;0,189729
42;4;0,120653
39;75;0,071287
40;53;0,073697
43;3;0,135316
42;5;0,118125
41;49;0,076582
43;4;0,121333
39;76;0,070835
40;54;0,071675
42;6;0,119215
41;50;0,074869
43;5;0,114610
42;7;0,093040
40;55;0,068908
43;6;0,119310
39;77;0,070819
41;51;0,075059
42;8;0,100176
43;7;0,096149
42;9;0,111283
39;78;0,071040
40;56;0,073100
41;52;0,074665
43;8;0,100650
42;10;0,110819
40;57;0,072131
41;53;0,073964
39;79;0,070315
43;9;0,107504
42;11;0,104330
41;54;0,072522
40;58;0,072962
43;10;0,106709
42;12;0,096868
39;80;0,069875
43;11;0,100105
40;59;0,073032
42;13;0,098580
41;55;0,069799
39;81;0,069632
43;12;0,095799
42;14;0,092568
40;60;0,072077
3;85;0,417779
43;13;0,096384
41;56;0,073845
39;82;0,068823
42;15;0,095738
43;14;0,090837
40;61;0,069455
41;57;0,073405
42;16;0,090934
39;83;0,069697
43;15;0,092075
40;62;0,073449
42;17;0,092573
41;58;0,073283
43;16;0,088688
39;84;0,068944
42;18;0,086439
40;63;0,072971
43;17;0,089930
41;59;0,072901
42;19;0,078780
40;64;0,073579
39;85;0,066842
43;18;0,083621
41;60;0,072415
42;20;0,086161
43;19;0,076077
40;65;0,072091
39;86;0,069757
41;61;0,069748
42;21;0,085252
43;20;0,084282
40;66;0,072619
42;22;0,089444
41;62;0,074391
39;87;0,069798
43;21;0,082000
42;23;0,088999
43;22;0,087171
40;67;0,072567
41;63;0,073555
39;88;0,070147
42;24;0,085890
43;23;0,084718
40;68;0,072929
41;64;0,074075
39;89;0,070605
42;25;0,084917
43;24;0,084966
41;65;0,073195
40;69;0,071191
43;25;0,085144
42;26;0,083408
39;90;0,069614
41;66;0,073307
40;70;0,070701
42;27;0,081002
43;26;0,082670
39;91;0,068241
41;67;0,073201
40;71;0,072172
43;27;0,081086
42;28;0,081747
39;92;0,070727
41;68;0,072860
43;28;0,080706
42;29;0,082627
40;72;0,071232
43;29;0,080556
42;30;0,083928
39;93;0,070129
41;69;0,071706
40;73;0,070648
43;30;0,078154
42;31;0,083316
2;58;0,464281
41;70;0,072343
39;94;0,069388
40;74;0,070228
43;31;0,078623
42;32;0,086013
41;71;0,072291
39;95;0,069770
40;75;0,070877
43;32;0,083970
42;33;0,083304
41;72;0,071657
43;33;0,080670
39;96;0,069393
42;34;0,084784
40;76;0,070548
43;34;0,082688
42;35;0,082644
41;73;0,071063
39;97;0,068900
40;77;0,070585
43;35;0,081553
42;36;0,080716
41;74;0,071004
40;78;0,070004
43;36;0,079264
39;98;0,068750
42;37;0,075632
41;75;0,071821
40;79;0,069727
43;37;0,075184
42;38;0,081436
39;99;0,068239
41;76;0,071455
43;38;0,080659
40;80;0,069999
42;39;0,082203
39;100;0,068778
43;39;0,079992
41;77;0,071558
42;40;0,079850
44;1;0,269300
40;81;0,068949
43;40;0,079165
44;2;0,196074
41;78;0,071313
42;41;0,082339
40;82;0,068455
44;3;0,142732
43;41;0,081249
42;42;0,081781
41;79;0,070854
44;4;0,122338
40;83;0,069083
43;42;0,081330
42;43;0,080740
44;5;0,115879
41;80;0,070440
40;84;0,068329
43;43;0,079638
44;6;0,116745
42;44;0,080096
44;7;0,091389
43;44;0,080089
40;85;0,065862
42;45;0,079536
41;81;0,070001
44;8;0,096899
43;45;0,077460
42;46;0,078239
40;86;0,068527
41;82;0,068644
44;9;0,109528
43;46;0,079745
42;47;0,080655
44;10;0,106387
41;83;0,069390
40;87;0,068445
43;47;0,077088
42;48;0,077414
41;84;0,068507
40;88;0,068791
44;11;0,101100
43;48;0,076036
42;49;0,077860
44;12;0,095948
43;49;0,076294
41;85;0,065829
40;89;0,069702
42;50;0,077044
44;13;0,098715
43;50;0,075992
41;86;0,068958
40;90;0,068369
42;51;0,077551
44;14;0,092668
43;51;0,075337
44;15;0,098709
41;87;0,069123
42;52;0,075841
40;91;0,067453
43;52;0,074296
44;16;0,091289
42;53;0,076994
41;88;0,069181
44;17;0,091907
43;53;0,075949
42;54;0,074799
40;92;0,069654
44;18;0,086123
43;54;0,072488
41;89;0,069738
42;55;0,072150
44;19;0,076706
40;93;0,068969
43;55;0,070334
41;90;0,068960
42;56;0,076011
44;20;0,085784
43;56;0,073845
44;21;0,085594
42;57;0,075531
40;94;0,068529
41;91;0,067468
44;22;0,090383
43;57;0,073066
42;58;0,075609
40;95;0,068189
41;92;0,069603
44;23;0,087515
43;58;0,073007
42;59;0,075201
44;24;0,086862
40;96;0,068426
3;86;0,419360
41;93;0,069401
43;59;0,072405
42;60;0,074690
44;25;0,085553
40;97;0,068004
41;94;0,068677
43;60;0,071983
44;26;0,081953
42;61;0,071787
44;27;0,079847
40;98;0,067928
43;61;0,069789
41;95;0,068785
42;62;0,075696
44;28;0,080667
40;99;0,067063
43;62;0,073803
41;96;0,068557
44;29;0,079761
42;63;0,075178
43;63;0,073248
40;100;0,068049
44;30;0,075681
42;64;0,075479
41;97;0,068388
45;1;0,264721
43;64;0,073732
44;31;0,075778
42;65;0,074410
41;98;0,067940
45;2;0,191925
44;32;0,079046
43;65;0,072817
42;66;0,074415
45;3;0,138530
41;99;0,067576
44;33;0,080202
45;4;0,128416
43;66;0,073150
42;67;0,075314
45;5;0,118783
44;34;0,081686
41;100;0,067963
43;67;0,072973
42;68;0,074825
45;6;0,120449
44;35;0,081164
43;68;0,072250
45;7;0,093429
42;69;0,073782
44;36;0,078225
46;1;0,271308
45;8;0,100139
43;69;0,071381
46;2;0,198222
44;37;0,074246
42;70;0,074062
45;9;0,108676
46;3;0,139927
43;70;0,071803
45;10;0,108474
44;38;0,080152
46;4;0,122539
42;71;0,074893
45;11;0,099896
43;71;0,072200
46;5;0,116482
44;39;0,079143
42;72;0,073522
45;12;0,091603
46;6;0,119349
43;72;0,071646
44;40;0,078868
45;13;0,096189
42;73;0,073700
46;7;0,097243
43;73;0,071865
45;14;0,090556
44;41;0,082422
46;8;0,100526
42;74;0,073186
45;15;0,091331
44;42;0,080402
43;74;0,071219
46;9;0,111426
45;16;0,089700
42;75;0,073822
44;43;0,080898
46;10;0,111191
43;75;0,072098
45;17;0,091313
44;44;0,078545
42;76;0,074140
46;11;0,102294
45;18;0,084256
43;76;0,071347
46;12;0,097196
44;45;0,082206
45;19;0,076951
42;77;0,074334
43;77;0,071566
46;13;0,100146
45;20;0,084644
44;46;0,079565
42;78;0,074587
46;14;0,092720
45;21;0,083880
43;78;0,071915
44;47;0,079542
46;15;0,096326
42;79;0,073222
45;22;0,086455
46;16;0,090565
44;48;0,077187
43;79;0,070856
42;80;0,073225
45;23;0,085905
46;17;0,093891
44;49;0,078178
43;80;0,070423
45;24;0,084916
46;18;0,087738
42;81;0,072312
44;50;0,076619
45;25;0,084151
43;81;0,070389
46;19;0,077434
42;82;0,071804
44;51;0,077215
45;26;0,081715
46;20;0,086480
43;82;0,069414
44;52;0,076444
42;83;0,071732
45;27;0,079177
46;21;0,086832
43;83;0,069722
46;22;0,091154
45;28;0,079052
44;53;0,077515
42;84;0,071150
43;84;0,069181
46;23;0,086670
45;29;0,079561
44;54;0,074924
42;85;0,068829
46;24;0,084956
43;85;0,067371
45;30;0,076586
44;55;0,071716
46;25;0,084591
45;31;0,076552
42;86;0,071661
43;86;0,069280
44;56;0,075883
46;26;0,080664
45;32;0,078251
42;87;0,071844
43;87;0,069640
44;57;0,075084
46;27;0,077579
45;33;0,076728
42;88;0,071889
43;88;0,069882
44;58;0,075053
46;28;0,078144
45;34;0,080656
46;29;0,078605
42;89;0,072562
45;35;0,079934
44;59;0,075237
43;89;0,070881
46;30;0,075994
45;36;0,077496
44;60;0,074963
42;90;0,071201
43;90;0,069030
45;37;0,073495
46;31;0,076051
44;61;0,071734
42;91;0,070251
43;91;0,069368
45;38;0,079412
46;32;0,077787
44;62;0,076635
2;59;0,465244
42;92;0,072348
45;39;0,078823
43;92;0,069985
46;33;0,075243
44;63;0,076313
45;40;0,077805
46;34;0,077754
42;93;0,072447
43;93;0,071084
44;64;0,076471
45;41;0,079763
46;35;0,076905
42;94;0,071002
43;94;0,069880
44;65;0,074985
45;42;0,079952
46;36;0,078518
44;66;0,075303
43;95;0,070085
42;95;0,072262
46;37;0,074108
45;43;0,077076
44;67;0,075680
46;38;0,080293
3;87;0,420970
45;44;0,079638
42;96;0,071795
43;96;0,069546
46;39;0,080564
44;68;0,075455
45;45;0,077177
43;97;0,069578
42;97;0,071767
46;40;0,079260
45;46;0,076798
44;69;0,073796
43;98;0,068885
42;98;0,070550
46;41;0,081967
45;47;0,076509
44;70;0,073557
43;99;0,068878
46;42;0,081067
42;99;0,070955
45;48;0,075577
44;71;0,074302
46;43;0,083706
43;100;0,068566
45;49;0,075711
46;44;0,080161
42;100;0,070716
44;72;0,074108
47;1;0,274635
45;50;0,075350
48;1;0,271566
47;2;0,187774
46;45;0,079899
44;73;0,073491
48;2;0,196125
47;3;0,138066
45;51;0,074459
46;46;0,078916
44;74;0,073665
48;3;0,140501
47;4;0,125418
45;52;0,073606
47;5;0,120244
46;47;0,078808
48;4;0,126435
44;75;0,074243
48;5;0,120722
47;6;0,120290
45;53;0,073984
46;48;0,077443
44;76;0,073909
48;6;0,122308
47;7;0,094123
45;54;0,071895
46;49;0,078131
47;8;0,100592
48;7;0,097128
44;77;0,074226
45;55;0,069897
47;9;0,109000
48;8;0,101605
46;50;0,076788
47;10;0,108932
44;78;0,074433
45;56;0,072970
48;9;0,108820
46;51;0,077259
47;11;0,104192
48;10;0,107938
45;57;0,072763
44;79;0,073168
46;52;0,076184
47;12;0,096016
48;11;0,104652
45;58;0,072756
44;80;0,073163
47;13;0,100435
46;53;0,077100
48;12;0,097388
47;14;0,096343
45;59;0,072154
44;81;0,072532
46;54;0,073887
48;13;0,100944
47;15;0,095784
45;60;0,071777
48;14;0,094346
47;16;0,089234
46;55;0,071072
44;82;0,071643
48;15;0,097321
47;17;0,092172
45;61;0,069689
46;56;0,075423
44;83;0,072533
48;16;0,092610
47;18;0,085893
45;62;0,073423
46;57;0,074759
48;17;0,094241
44;84;0,071448
47;19;0,077837
48;18;0,089764
45;63;0,072858
46;58;0,075066
47;20;0,085426
44;85;0,069122
48;19;0,080027
45;64;0,072948
46;59;0,075033
47;21;0,084147
44;86;0,071857
48;20;0,090024
45;65;0,072365
47;22;0,089378
46;60;0,073584
48;21;0,088078
47;23;0,087166
45;66;0,072810
44;87;0,072286
46;61;0,071469
48;22;0,094066
47;24;0,084385
44;88;0,072437
45;67;0,072404
48;23;0,092372
47;25;0,083885
46;62;0,075044
44;89;0,073331
48;24;0,089799
45;68;0,072214
47;26;0,081208
46;63;0,074686
1;29;0,492045
48;25;0,089080
47;27;0,079949
45;69;0,070953
44;90;0,071369
46;64;0,075302
48;26;0,085749
47;28;0,078197
45;70;0,071727
46;65;0,074225
48;27;0,083717
47;29;0,078494
44;91;0,071181
45;71;0,071999
48;28;0,082719
47;30;0,074991
46;66;0,075058
44;92;0,073102
47;31;0,074901
45;72;0,071650
46;67;0,075087
48;29;0,082977
44;93;0,073053
47;32;0,076957
48;30;0,078869
45;73;0,071756
46;68;0,075010
44;94;0,072333
47;33;0,074837
48;31;0,079734
45;74;0,071129
46;69;0,074026
47;34;0,075414
44;95;0,072748
48;32;0,081007
46;70;0,074275
45;75;0,072357
48;33;0,078372
47;35;0,075653
44;96;0,072100
45;76;0,071842
46;71;0,074765
48;34;0,079815
47;36;0,072543
44;97;0,071757
45;77;0,072396
47;37;0,069096
48;35;0,079034
46;72;0,073920
44;98;0,071402
45;78;0,072667
47;38;0,079515
48;36;0,075787
46;73;0,073801
44;99;0,071305
47;39;0,078874
45;79;0,070839
48;37;0,071945
46;74;0,072847
47;40;0,078960
48;38;0,078478
45;80;0,071634
44;100;0,071474
46;75;0,073895
48;39;0,082459
47;41;0,080383
45;81;0,070959
49;1;0,265706
46;76;0,074065
48;40;0,080096
47;42;0,082237
49;2;0,194181
45;82;0,070085
46;77;0,073326
47;43;0,079478
48;41;0,085085
49;3;0,141425
48;42;0,083252
47;44;0,079425
49;4;0,116289
45;83;0,070644
46;78;0,073704
49;5;0,116315
48;43;0,082503
47;45;0,078790
45;84;0,069788
46;79;0,073263
49;6;0,113572
48;44;0,082358
47;46;0,078656
49;7;0,090884
3;88;0,422508
46;80;0,073166
47;47;0,077649
48;45;0,082486
49;8;0,094036
45;85;0,067964
47;48;0,077483
49;9;0,103000
46;81;0,072192
48;46;0,080965
45;86;0,069998
49;10;0,105441
47;49;0,077221
48;47;0,080398
46;82;0,071947
49;11;0,097235
45;87;0,070806
47;50;0,076545
48;48;0,079157
46;83;0,071984
49;12;0,092074
45;88;0,070156
47;51;0,076484
48;49;0,080574
49;13;0,096032
46;84;0,070771
47;52;0,075051
45;89;0,071462
49;14;0,089656
48;50;0,078885
46;85;0,068694
47;53;0,076072
45;90;0,069937
49;15;0,091754
48;51;0,079864
47;54;0,073179
46;86;0,070815
49;16;0,088135
45;91;0,069443
48;52;0,079307
47;55;0,071494
49;17;0,091532
46;87;0,071648
48;53;0,080061
45;92;0,071238
47;56;0,074870
49;18;0,086800
48;54;0,077406
46;88;0,071286
47;57;0,074721
49;19;0,076976
45;93;0,070827
48;55;0,074830
49;20;0,084889
46;89;0,072589
47;58;0,074678
45;94;0,070206
48;56;0,079373
49;21;0,086516
46;90;0,071559
47;59;0,074238
45;95;0,070584
48;57;0,077876
49;22;0,090222
46;91;0,070597
47;60;0,073753
48;58;0,078462
49;23;0,088238
45;96;0,069854
47;61;0,071116
46;92;0,073233
48;59;0,077998
49;24;0,086258
45;97;0,069395
47;62;0,074862
49;25;0,087045
2;60;0,466321
48;60;0,077749
46;93;0,072929
45;98;0,068902
47;63;0,074277
49;26;0,083844
48;61;0,074390
46;94;0,072017
45;99;0,068866
49;27;0,081635
47;64;0,074974
48;62;0,079490
46;95;0,072640
49;28;0,081243
47;65;0,074013
45;100;0,068636
48;63;0,078490
46;96;0,071780
49;29;0,082118
48;64;0,078927
50;1;0,272317
47;66;0,073924
50;2;0,188526
46;97;0,072108
49;30;0,079549
48;65;0,077900
50;3;0,139396
47;67;0,074110
49;31;0,078647
46;98;0,070995
48;66;0,078733
50;4;0,124042
47;68;0,073799
49;32;0,081378
50;5;0,117232
48;67;0,078711
46;99;0,070866
49;33;0,077944
50;6;0,117517
47;69;0,072966
48;68;0,077831
46;100;0,070968
49;34;0,079796
50;7;0,095075
47;70;0,073226
48;69;0,076898
50;8;0,103494
